rating,rating_description
1,Poor
1.1,Poor
1.2,Poor
1.3,Poor
1.4,Poor
1.5,Poor
1.6,Poor
1.7,Poor
1.8,Poor
1.9,Poor
2,Below Average
2.1,Below Average
2.2,Below Average
2.3,Below Average
2.4,Below Average
2.5,Below Average
2.6,Below Average
2.7,Below Average
2.8,Below Average
2.9,Below Average
3,Average
3.1,Average
3.2,Average
3.3,Average
3.4,Average
3.5,Average
3.6,Average
3.7,Average
3.8,Average
3.9,Average
4,Good
4.1,Good
4.2,Good
4.3,Good
4.4,Good
4.5,Good
4.6,Good
4.7,Good
4.8,Good
4.9,Good
5,Best
0,not rated
